p  Pflow  <smax>
0  0  0
0.01  0  1.3821
0.02  0  1.9652
0.03  0  2.3129
0.04  0  2.6427
0.05  0  2.997
0.06  0  3.3513
0.07  0  3.6741
0.08  0  4.033
0.09  0  4.3708
0.1  0  4.7644
0.11  0  5.1465
0.12  0  5.5384
0.13  0  5.9479
0.14  0  6.4013
0.15  0  6.8456
0.16  0  7.3198
0.17  0  7.8318
0.18  0  8.3551
0.19  0  8.9775
0.2  0  9.5325
0.21  0  10.2123
0.22  0  10.8879
0.23  0  11.6011
0.24  0  12.4448
0.25  0  13.3633
0.26  0  14.2746
0.27  0  15.2844
0.28  0  16.4524
0.29  0  17.5644
0.3  0  18.9195
0.31  0  20.339
0.32  0  21.8522
0.33  0  23.544
0.34  0  25.4852
0.35  0  27.644
0.36  0  29.9629
0.37  0  32.6646
0.38  0  35.5613
0.39  0  39.0048
0.4  0  42.7004
0.41  0  46.7337
0.42  0  51.9182
0.43  0  57.5789
0.44  0  63.9109
0.45  0  71.3763
0.46  0  80.4925
0.47  0  90.9269
0.48  0  103.705
0.49  0.0002  119.321
0.5  0.0012  136.844
0.51  0.0029  159.634
0.52  0.006  190.683
0.53  0.0128  223.798
0.54  0.0345  269.16
0.55  0.07  324.522
0.56  0.1227  394.679
0.57  0.207  479.033
0.58  0.3176  583.972
0.59  0.4684  707.344
0.6  0.6114  835.245
0.61  0.7419  978.338
0.62  0.8397  1107.64
0.63  0.9176  1234.93
0.64  0.9552  1335.86
0.65  0.9809  1426.78
0.66  0.9928  1497.69
0.67  0.9967  1557.61
0.68  0.9994  1608.23
0.69  0.9999  1652.12
0.7  0.9998  1691.17
0.71  1  1726.62
0.72  1  1761.39
0.73  1  1793.45
0.74  1  1824.1
0.75  1  1853.51
0.76  1  1882.81
0.77  1  1911.25
0.78  1  1938.15
0.79  1  1965.9
0.8  1  1991.99
0.81  1  2019.12
0.82  1  2045.28
0.83  1  2070.94
0.839999  1  2096.96
0.849999  1  2122.28
0.859999  1  2148.47
0.869999  1  2173.85
0.879999  1  2198.94
0.889999  1  2224.3
0.899999  1  2249.72
0.909999  1  2274.75
0.919999  1  2299.56
0.929999  1  2325.07
0.939999  1  2349.89
0.949999  1  2374.72
0.959999  1  2400.03
0.969999  1  2425.04
0.979999  1  2449.99
0.989999  1  2474.93
0.999999  1  2500
