p  Pflow  <smax>
0  0  0
0.01  0  1.9094
0.02  0  2.3841
0.03  0  2.8876
0.04  0  3.3364
0.05  0  3.7405
0.06  0  4.1635
0.07  0  4.5915
0.08  0  5.0436
0.09  0  5.4718
0.1  0  5.9403
0.11  0  6.4323
0.12  0  6.9505
0.13  0  7.4687
0.14  0  8.0372
0.15  0  8.6184
0.16  0  9.24
0.17  0  9.899
0.18  0  10.5598
0.19  0  11.3525
0.2  0  12.214
0.21  0  13.0364
0.22  0  13.946
0.23  0  14.9798
0.24  0  16.0342
0.25  0  17.2089
0.26  0  18.4249
0.27  0  19.8006
0.28  0  21.2929
0.29  0  23.0036
0.3  0  24.7468
0.31  0  26.7077
0.32  0  28.9908
0.33  0  31.4489
0.34  0  34.163
0.35  0  37.2879
0.36  0  40.425
0.37  0  44.4715
0.38  0  48.6078
0.39  0  53.5921
0.4  0  58.9836
0.41  0  65.7446
0.42  0  73.9339
0.43  0  82.3134
0.44  0  92.7126
0.45  0  105.205
0.46  0  120.029
0.47  0  139.011
0.48  0  161.604
0.49  0  188.049
0.5  0  224.616
0.51  0  271.901
0.52  0  333.755
0.53  0.0003  415.711
0.54  0.0016  534.651
0.55  0.0077  694.311
0.56  0.0274  942.754
0.57  0.0917  1303.33
0.58  0.2253  1802.39
0.59  0.4461  2500.04
0.6  0.6731  3301.74
0.61  0.8598  4159.98
0.62  0.9508  4832.58
0.63  0.9892  5352.59
0.64  0.9976  5706.38
0.65  0.9994  5977.09
0.66  0.9999  6193.24
0.67  1  6378.73
0.68  1  6542.4
0.69  1  6691.46
0.7  1  6829.74
0.71  1  6959.99
0.72  1  7085.9
0.73  1  7206.46
0.74  1  7322.89
0.75  1  7437.2
0.76  1  7548.06
0.77  1  7657.35
0.78  1  7766.06
0.79  1  7871.89
0.8  1  7977
0.81  1  8081.84
0.82  1  8185.43
0.83  1  8288.29
0.839999  1  8391.34
0.849999  1  8493.15
0.859999  1  8595.13
0.869999  1  8695.83
0.879999  1  8797.29
0.889999  1  8897.66
0.899999  1  8998.9
0.909999  1  9099.01
0.919999  1  9199.22
0.929999  1  9299.84
0.939999  1  9399.57
0.949999  1  9499.83
0.959999  1  9600.05
0.969999  1  9699.89
0.979999  1  9800.01
0.989999  1  9900.01
0.999999  1  10000
