p  Pflow  <smax>
0  0  0
0.01  0  0.658
0.02  0  0.9645
0.03  0  1.1497
0.04  0  1.3329
0.05  0  1.4968
0.06  0  1.6731
0.07  0  1.8497
0.08  0  2.0265
0.09  0  2.2012
0.1  0  2.3658
0.11  0  2.5701
0.12  0  2.7511
0.13  0  2.9377
0.14  0  3.1462
0.15  0  3.3663
0.16  0.0001  3.5706
0.17  0  3.832
0.18  0  4.0411
0.19  0.0002  4.3238
0.2  0.0003  4.5449
0.21  0.0002  4.8322
0.22  0.001  5.0793
0.23  0.0014  5.4008
0.24  0.0021  5.7445
0.25  0.0014  6.0241
0.26  0.0027  6.3582
0.27  0.004  6.7849
0.28  0.0076  7.1277
0.29  0.0103  7.5725
0.3  0.0143  8.0416
0.31  0.017  8.3609
0.32  0.0228  8.876
0.33  0.031  9.4593
0.34  0.039  10.0002
0.35  0.0514  10.6173
0.36  0.0611  11.123
0.37  0.0768  11.7736
0.38  0.0954  12.5697
0.39  0.1171  13.3288
0.4  0.1379  14.1048
0.41  0.1564  14.8786
0.42  0.1922  15.7564
0.43  0.2242  16.7908
0.44  0.2549  17.7447
0.45  0.2818  18.6512
0.46  0.3265  19.9844
0.47  0.3705  21.0771
0.48  0.4138  22.4665
0.49  0.4551  23.6637
0.5  0.4973  25.5156
0.51  0.5432  26.7155
0.52  0.5858  28.5978
0.53  0.626  30.1145
0.54  0.6683  31.6893
0.55  0.7091  33.5491
0.56  0.7406  35.4777
0.57  0.7768  37.1287
0.58  0.8116  39.3554
0.59  0.8455  41.4629
0.6  0.8619  43.4301
0.61  0.8897  45.5266
0.62  0.901  47.3678
0.63  0.9279  49.886
0.64  0.9401  51.8308
0.65  0.9481  54.0067
0.66  0.9622  56.0336
0.67  0.9699  57.9004
0.68  0.9742  59.9616
0.69  0.9824  62.0427
0.7  0.9862  63.8729
0.71  0.9915  65.8234
0.72  0.9937  67.6028
0.73  0.9956  69.1913
0.74  0.997  71.1333
0.75  0.9965  72.6496
0.76  0.9987  74.1075
0.77  0.9986  75.6222
0.78  0.9992  77.3033
0.79  0.9993  78.569
0.8  0.9999  79.9119
0.81  0.9999  81.2693
0.82  0.9999  82.4953
0.83  0.9998  83.7118
0.839999  1  84.8523
0.849999  1  86.1176
0.859999  1  87.2086
0.869999  1  88.4003
0.879999  1  89.5045
0.889999  1  90.5437
0.899999  1  91.6503
0.909999  1  92.8054
0.919999  1  93.772
0.929999  1  94.8603
0.939999  1  95.9396
0.949999  1  96.9357
0.959999  1  98.0057
0.969999  1  99.0191
0.979999  1  100.016
0.989999  1  100.995
0.999999  1  102
