p  Pflow  <smax>
0  0  0
0.01  0  2.1125
0.02  0  3.9932
0.03  0  8.1546
0.04  0  14.0564
0.05  0  21.328
0.06  0  29.9007
0.07  0  39.6279
0.08  0  50.4223
0.09  0  61.7814
0.1  0  74.3057
0.11  0  87.2952
0.12  0  101.312
0.13  0  115.461
0.14  0  130.322
0.15  0  145.526
0.16  0  161.221
0.17  0  176.792
0.18  0  193.087
0.19  0  209.301
0.2  0  225.358
0.21  0  241.836
0.22  0  258.216
0.23  0  274.224
0.24  0  290.625
0.25  0  306.432
0.26  0  322.248
0.27  0  337.456
0.28  0  352.824
0.29  0  367.732
0.3  0  382.491
0.31  0  396.677
0.32  0  410.318
0.33  0  424.159
0.34  0  436.617
0.35  0  449.082
0.36  0  460.545
0.37  0  471.646
0.38  0  483.09
0.39  0  492.524
0.4  0  501.966
0.41  0  510.297
0.42  0  518.731
0.43  0.0001  525.814
0.44  0.0007  532.275
0.45  0.0025  538.212
0.46  0.0122  543.325
0.47  0.041  548.684
0.48  0.1236  555.472
0.49  0.2715  570.555
0.5  0.5051  609.696
0.51  0.7199  700.944
0.52  0.8744  875.682
0.53  0.9563  1166.51
0.54  0.9891  1593.6
0.55  0.9976  2189.11
0.56  0.9995  2878.02
0.57  1  3651.34
0.58  1  4320.24
0.59  1  4878.64
0.6  1  5280.81
0.61  1  5579.38
0.62  1  5814.82
0.63  1  6007.94
0.64  1  6175.3
0.65  1  6328.44
0.66  1  6469.68
0.67  1  6603.01
0.68  1  6728.55
0.69  1  6851.92
0.7  1  6970.29
0.71  1  7085.7
0.72  1  7197.34
0.73  1  7309.71
0.74  1  7419.2
0.75  1  7528.83
0.76  1  7635.92
0.77  1  7743.08
0.78  1  7850.67
0.79  1  7956.89
0.8  1  8062
0.81  1  8168.26
0.82  1  8273.69
0.83  1  8378.99
0.839999  1  8484.63
0.849999  1  8589.87
0.859999  1  8695.09
0.869999  1  8800.8
0.879999  1  8907
0.889999  1  9012.81
0.899999  1  9119.25
0.909999  1  9225.27
0.919999  1  9331.77
0.929999  1  9439.04
0.939999  1  9546.62
0.949999  1  9654.01
0.959999  1  9761.94
0.969999  1  9870.32
0.979999  1  9979.28
0.989999  1  10088.4
0.999999  1  10199.3
